Ticker,PE Ratio (TTM),PE Ratio (Current),Market Cap (log),Beta,Dividend Yield,EPS Growth (ROE x Retention),Cluster,Sector
ISRG,48.6618,49.02068126520681,25.676731945869413,1.453,0.0,0.17232999,4,Health Care
JBHT,41.940903,42.53188180404355,23.959219319830495,1.305,0.66,0.120934359252,4,Industrials
JCI,43.38567,45.185975609756106,25.187131574900945,1.337,1.08,0.0699213536898,4,Industrials
JPM,16.00072,15.875478927203067,27.520325661173995,1.0,1.81,0.118152847176,4,Financials
KEYS,57.001614,60.21612903225806,24.824190872020186,1.221,0.0,0.18174,4,Information Technology
LH,22.981417,22.515929203539823,23.78171840366286,0.877,1.13,0.082289103,4,Health Care
LEN,13.72257,13.705329153605016,23.79426403870702,1.4,2.29,0.0505813185264,4,Consumer Discretionary
MLM,38.134544,38.16520650813517,24.32307826375954,1.102,0.54,0.07522968,4,Materials
MGM,63.794518,63.7945205479452,23.201063243846008,1.311,0.0,0.13488,4,Consumer Discretionary
MS,20.485054,20.569746376811597,26.60019132517114,1.221,1.76,0.1056206632775999,4,Financials
NDAQ,25.009037,24.882530120481928,24.57249495740721,0.974,1.36,0.10930140324,4,Financials
NWSA,31.373417,31.151898734177212,23.324713150966915,0.893,0.81,0.048721232,4,Communication Services
NWS,35.550632,35.34177215189874,23.449710092071744,0.893,0.72,0.048721232,4,Communication Services
NDSN,31.135828,31.5572192513369,23.509548401082863,0.98,1.11,0.1120613199999999,4,Industrials
NSC,25.666105,25.646711635750425,24.948147515017276,1.272,1.78,0.0960193597155,4,Industrials
NTRS,18.452879,18.383246073298427,24.20788347256089,1.272,1.82,0.096924324,4,Financials
ODFL,45.408142,45.82881002087683,24.53511801986672,1.18,0.53,0.1782721709999999,4,Industrials
PCAR,25.310638,25.557446808510637,24.86014311900343,0.992,1.17,0.094259628,4,Industrials
PH,35.119427,35.4640619240693,25.51187240128392,1.138,0.83,0.1824148036253998,4,Industrials
PNR,18.548994,18.600502512562816,23.202366308791987,1.046,1.43,0.13096557,4,Industrials
PPG,16.985674,17.03724928366762,23.99765293568624,1.062,2.39,0.1239485519999999,4,Materials
PHM,12.189072,12.148936170212767,23.901650791133473,1.216,0.83,0.146766816,4,Consumer Discretionary
RJF,14.717185,14.792256846081209,24.13683618294305,0.951,1.38,0.1389344057289,4,Financials
RVTY,48.10577,47.61538461538462,23.135841111497395,1.107,0.28,0.0279264579999999,4,Health Care
ROK,47.888657,49.74817898022893,24.659188632198145,1.561,1.15,0.1199585871549,4,Industrials
SPGI,25.437698,25.767868437697658,25.502744951926232,1.076,0.95,0.1054560910410001,4,Financials
CRM,17.720625,17.39513325608343,25.553568378242332,1.151,1.17,0.1360079536908,4,Information Technology
