Ticker,PE Ratio (TTM),PE Ratio (Current),Market Cap (log),Beta,Dividend Yield,EPS Growth (ROE x Retention),Cluster,Sector
MMM,27.703276,27.456647398843927,25.040633199939336,1.09,2.19,0.3056258659999999,6,Industrials
ABNB,35.22388,35.23880597014926,25.156279942608634,1.208,0.0,0.30233,6,Consumer Discretionary
ALLE,18.487705,18.509562841530055,23.17682810409259,0.903,1.56,0.244653296316,6,Industrials
GOOGL,29.192984,29.41952707856598,29.165050435217,1.267,0.22,0.3639246869229999,6,Communication Services
GOOG,28.954998,29.231121281464535,29.155341464997534,1.267,0.23,0.3639246869229999,6,Communication Services
AMZN,32.75269,32.06929510155317,28.712206018216857,1.468,0.0,0.24285,6,Consumer Discretionary
AXP,20.114233,19.955056179775283,26.116284429924296,1.084,1.19,0.2709119455581,6,Financials
APH,40.59026,40.77363896848138,25.88324685669886,1.297,0.7,0.280422375,6,Information Technology
AON,18.420929,18.313345091122866,24.926780751533148,0.714,1.05,0.3850456299999999,6,Financials
ADSK,47.44168,46.7208413001912,24.681281170763384,1.322,0.0,0.39675,6,Information Technology
CDNS,81.24697,79.28837209302326,25.29235354182226,1.131,0.0,0.20656,6,Information Technology
CAT,43.75087,44.240179015415215,26.737894438086833,1.625,0.68,0.361472902,6,Industrials
CDW,17.014235,16.83539603960396,23.598715390033497,1.035,1.85,0.2968242,6,Information Technology
CHTR,4.6942644,4.646645021645022,23.921712259089343,0.757,0.0,0.27504998,6,Communication Services
CMG,30.1422,30.25688073394495,24.466438257290417,1.03,0.0,0.49231997,6,Consumer Discretionary
CTAS,35.65856,35.858350951374206,24.93510733001934,0.962,1.06,0.261406705987,6,Industrials
CPAY,20.880825,20.45406125166445,23.755377128320884,0.816,0.0,0.29071,6,Financials
COST,52.97815,52.6378772112383,26.83638316659054,0.908,0.58,0.2163336754778003,6,Consumer Staples
DECK,14.05966,14.329545454545451,23.36590309154816,1.141,0.0,0.39688,6,Consumer Discretionary
DLTR,16.045454,15.937710437710438,23.657361629727315,0.609,0.0,0.31693,6,Consumer Staples
EBAY,25.600462,24.034642032332563,24.61951307336341,1.385,1.19,0.311915625,6,Consumer Discretionary
EME,30.618233,30.390178271106628,24.425483650315506,1.169,0.14,0.37714760678458,6,Industrials
EXPE,25.700613,25.64562118126273,24.134122199300627,1.3,0.67,0.4073359728672,6,Consumer Discretionary
EXPD,22.949581,24.744537815126048,23.622430313346783,1.033,1.05,0.262614572,6,Industrials
FFIV,27.107143,26.535303776683087,23.653811617554435,1.001,0.0,0.2034,6,Information Technology
GE,35.38385,35.59130434782608,26.419047272323954,1.352,0.66,0.36683111615,6,Industrials
HWM,64.863884,64.55795148247978,25.292645318222046,1.191,0.2,0.2683246032177199,6,Industrials
ITW,23.538961,23.698515769944343,25.015514827238604,1.055,2.52,0.399304304,6,Industrials
INCY,13.70904,13.687853107344631,23.688067408786974,0.797,0.0,0.30823,6,Health Care
IQV,20.432398,20.12372448979592,24.015039209540166,1.179,0.0,0.21438,6,Health Care
LULU,9.966818,10.073906485671191,23.464353456539854,0.899,0.0,0.34013,6,Consumer Discretionary
META,22.26072,22.120094476744185,28.072545675715446,1.243,0.34,0.304141498472,6,Communication Services
MSFT,24.925207,24.68384982121573,28.764648422197677,1.093,0.88,0.2696289734743999,6,Information Technology
NVR,14.797679,15.037605375687232,23.52927776073736,0.952,0.0,0.33257,6,Consumer Discretionary
ORCL,32.58707,30.8491921005386,26.980993009260757,1.544,1.16,0.3689789595144,6,Information Technology
PYPL,9.349354,9.32347504621072,24.541099285765448,1.395,1.11,0.25065543173932,6,Financials
PTC,20.33137,20.107511045655375,23.52221733140513,0.978,0.0,0.23141001,6,Information Technology
RL,24.369818,24.623385452073418,23.802349121851353,1.387,1.01,0.2564511453845999,6,Consumer Discretionary
ROST,34.43646,34.620272314674736,25.022238934077325,0.875,0.78,0.276882222,6,Consumer Discretionary
SHW,30.458654,30.576923076923077,25.081598471930043,1.155,1.01,0.422328465,6,Materials
SOLV,7.677928,7.503378378378377,23.193799133898267,0.655,0.0,0.38861,6,Health Care
TRGP,30.174322,29.95053003533569,24.731804650898237,0.744,1.67,0.2868601332762,6,Energy
TJX,31.858606,32.13729508196722,25.874499356864312,0.637,1.22,0.390960948,6,Consumer Discretionary
TT,36.951874,37.1642475171887,25.39569039201617,1.257,0.86,0.258021734088,6,Industrials
UBER,15.890064,15.881606765327694,25.764675995548323,1.158,0.0,0.39925998,6,Industrials
ULTA,20.577614,20.74687987519501,23.862053883472075,0.891,0.0,0.43595,6,Consumer Discretionary
UAL,8.286225,8.278175313059034,24.126731977427855,1.206,0.0,0.25726998,6,Industrials
VLTO,22.64433,22.585051546391753,23.79495636160322,0.927,0.59,0.319525269,6,Industrials
V,28.557056,28.574041811846687,27.158547436660996,0.784,0.82,0.4709032469999999,6,Financials
GWW,32.694458,32.46523459581684,24.72600690441793,1.042,0.81,0.346019078988,6,Industrials
WAT,28.21186,28.569302325581397,24.116813459803677,1.141,0.0,0.29279,6,Health Care
WSM,20.255089,20.36085972850679,23.782461846263043,1.49,1.69,0.361389290625201,6,Consumer Discretionary
ZTS,18.820599,18.963455149501662,24.590857654544788,0.863,1.86,0.4406945628016,6,Health Care
