Ticker,PE Ratio (TTM),PE Ratio (Current),Market Cap (log),Beta,Dividend Yield,EPS Growth (ROE x Retention),Cluster,Sector
ALGN,29.853535,29.46969696969697,23.264871237019328,1.669,0.0,0.10824,4,Health Care
ANET,60.45704,58.19587628865979,26.123804320103932,1.601,0.0,0.31520998,4,Information Technology
XYZ,62.878906,61.94531250000001,24.592446931863535,2.541,0.0,0.03743,4,Financials
CCL,11.796216,11.729729729729728,24.303106466712048,2.322,1.73,0.230833161,4,Consumer Discretionary
CVNA,36.82081,37.07514450867052,24.969879846358182,3.462,0.0,0.60172004,4,Consumer Discretionary
COIN,65.51436,58.765567765567766,24.575985955321762,3.351,0.0,0.06686,4,Financials
DASH,88.028305,89.16037735849056,25.1215818853908,1.779,0.0,0.09922,4,Consumer Discretionary
FSLR,13.33721,13.262919896640827,23.822674141329944,1.73,0.0,0.18436001,4,Information Technology
FLEX,53.935623,51.463519313304715,24.552867128762458,1.626,0.0,0.17347,4,Information Technology
GNRC,67.51406,66.640625,23.266306462484984,1.895,0.0,0.07388,4,Industrials
KKR,33.12585,32.98299319727891,25.232040563995767,1.794,0.77,0.0573422319932,4,Financials
MRVL,71.73792,67.22068965517242,25.952903524557588,2.197,0.12,0.1470569,4,Information Technology
MPWR,98.47491,95.25448028673836,24.93526167527091,1.71,0.6,0.102137132,4,Information Technology
NCLH,15.649194,15.71774193548387,22.9103314808379,1.876,0.0,0.29533002,4,Consumer Discretionary
NUE,23.22619,22.890873015873016,24.699553124311997,1.922,0.97,0.09579843,4,Materials
NXPI,26.198086,25.56746411483254,24.959095502078416,1.805,1.52,0.1580271789185995,4,Information Technology
ON,66.08089,63.75,24.277931169429408,2.012,0.0,0.074939996,4,Information Technology
ORCL,21.460548,20.819897084048023,26.61045298081848,1.712,1.65,0.350626944,4,Information Technology
QCOM,18.530107,18.313978494623655,25.925269561542343,1.638,2.16,0.2227042832166,4,Information Technology
HOOD,52.20874,48.19417475728155,25.296422226093444,2.336,0.0,0.21461001,4,Financials
RCL,17.481709,17.448780487804882,25.065661234533593,1.764,1.75,0.367209432,4,Consumer Discretionary
SMCI,13.171053,12.542105263157897,23.507535890004,1.936,0.0,0.17877,4,Information Technology
TER,69.43668,62.15270018621974,24.790079174220836,1.742,0.16,0.26136624885,4,Information Technology
URI,25.830902,25.907137375287796,24.870457481002898,1.794,0.78,0.229397388,4,Industrials
VRT,76.14106,73.46851385390428,25.47779016815974,2.029,0.09,0.42828620809806,4,Industrials
ZBRA,31.512665,31.92882991556092,23.24448411105049,1.605,0.0,0.11781,4,Information Technology
