Ticker,PE Ratio (TTM),PE Ratio (Current),Market Cap (log),Beta,Dividend Yield,EPS Growth (ROE x Retention),Cluster,Sector
AKAM,32.488598,32.899022801302934,23.394039112339893,0.704,0.0,0.091730006,1,Information Technology
ALL,5.566588,5.558707643814027,24.730614186572993,0.206,2.04,0.3536465975269199,1,Financials
AMGN,25.813072,25.83274771609276,26.011585085105875,0.425,2.74,0.3512008969,1,Health Care
ACGL,8.39612,8.368103448275862,24.287657241352942,0.365,0.0,0.19540001,1,Financials
AJG,39.76307,39.88675958188153,24.795373384594622,0.672,1.22,0.0377758213812,1,Financials
AIZ,13.180851,13.426713947990542,23.136415936947138,0.547,1.48,0.1281936338202,1,Financials
BRK-B,15.948529,15.997442455242965,27.70448491045012,0.688,0.0,0.09809,1,Financials
BIIB,20.928247,21.421412300683375,24.01787529280582,0.145,0.0,0.07394,1,Health Care
BSX,37.041237,37.623711340206185,25.392649601684013,0.7,0.0,0.12445,1,Health Care
BRO,23.212025,23.139240506329113,23.943868742990954,0.798,0.86,0.0904142051226,1,Financials
CBOE,28.820845,28.57732949087416,24.170166847563248,0.336,0.94,0.17307424,1,Financials
CF,13.096432,12.350055741360087,23.631429494354595,0.689,1.81,0.1818257723401,1,Materials
CB,12.7351,12.951305025321386,25.580405776211958,0.489,1.17,0.122036544,1,Financials
CHD,33.21192,33.06622516556291,23.90485704073852,0.426,1.23,0.107358663524,1,Consumer Staples
CME,28.418835,28.413452914798206,25.458750850836847,0.26,1.64,0.0814200029499999,1,Financials
CTVA,43.78286,43.76571428571429,24.670165265055715,0.721,0.94,0.029844,1,Materials
DG,25.196028,25.310880829015545,24.192496872646856,0.22,1.61,0.097449805924,1,Consumer Staples
DLTR,21.83932,21.911153119092628,23.88300313648958,0.692,0.0,0.20066999,1,Consumer Staples
EA,74.34831,75.19101123595506,24.628825297802734,0.754,0.38,0.071733158,1,Communication Services
EQT,18.712992,18.63141993957704,24.378266072928373,0.722,1.07,0.072722518,1,Energy
FDS,14.376908,14.307888040712466,22.858271288141786,0.751,1.96,0.208707609,1,Financials
FOXA,14.310551,14.074340527577938,23.957444330998705,0.537,0.95,0.1460404629999999,1,Communication Services
FOX,13.047961,12.829736211031175,23.958074937364255,0.537,1.05,0.1460404629999999,1,Communication Services
GD,23.506153,23.36139896373057,25.309598806420134,0.372,1.66,0.1080139868195997,1,Industrials
GILD,21.224188,21.407079646017696,25.90864070869429,0.374,2.26,0.217057045,1,Health Care
GPN,17.101582,17.67268623024831,23.777912558143427,0.732,1.28,0.0373522324824,1,Financials
GL,10.124111,10.19701280227596,23.168257103340284,0.455,0.92,0.1900776488235599,1,Financials
HIG,10.419354,10.478619654913729,24.38004715941718,0.516,1.72,0.1814339701656,1,Financials
HOLX,31.412863,31.431535269709546,23.550624220003822,0.728,0.0,0.108559996,1,Health Care
HII,27.945347,27.402081977878986,23.547943990972243,0.28,1.31,0.0804081278959999,1,Industrials
JKHY,24.533716,23.96700143472023,23.23906454090081,0.726,1.41,0.1619985591432,1,Financials
J,36.120373,36.00529100529101,23.50352433511404,0.734,1.06,0.064415298,1,Industrials
JNJ,21.74047,21.745009074410163,27.08173813080348,0.326,2.17,0.18706018932,1,Health Care
LHX,42.892147,42.06916764361079,24.949179812903896,0.606,1.39,0.0358192405427,1,Industrials
LDOS,16.019749,15.768402154398563,23.850773299501707,0.617,0.95,0.264937275074,1,Industrials
LIN,33.24623,33.56575342465754,26.139051532640377,0.797,1.31,0.1049955809999999,1,Materials
LMT,31.178074,30.493482309124765,25.766486162626396,0.197,2.06,0.2911646430594999,1,Industrials
L,13.68797,13.784461152882203,23.84003915042578,0.588,0.23,0.09134866571707,1,Financials
