Ticker,PE Ratio (TTM),PE Ratio (Current),Market Cap (log),Beta,Dividend Yield,EPS Growth (ROE x Retention),Cluster,Sector,Payout Ratio,Predicted PE (Cluster),PE Difference (Cluster),Valuation Signal (Cluster),Cluster R²,Cluster Adj R²,Cluster F p-value,Cluster Residual SE
AKAM,36.516235,35.785714285714285,23.51415890383297,0.704,0.0,0.091730006,1,Information Technology,0.0,28.35,7.44,Fairly Valued,0.1169,0.0727,0.0571,14.7886
ALL,5.4094615,5.4473061760841,24.701455937465376,0.206,2.08,0.3536465975269199,1,Financials,5.881577864867394,15.49,-10.04,Fairly Valued,0.1169,0.0727,0.0571,14.7886
AMGN,24.554775,24.508426966292134,25.96231291279746,0.425,2.89,0.3512008969,1,Health Care,8.228908369852173,17.48,7.03,Fairly Valued,0.1169,0.0727,0.0571,14.7886
APA,10.967418,10.962406015037594,23.46141091301763,0.708,2.29,0.1897480850639999,1,Energy,12.068632994254507,29.18,-18.22,Undervalued,0.1169,0.0727,0.0571,14.7886
ACGL,8.172414,8.243103448275862,24.24297682371927,0.365,0.0,0.19540001,1,Financials,0.0,19.98,-11.74,Fairly Valued,0.1169,0.0727,0.0571,14.7886
AJG,37.565334,37.62195121951219,24.738516489244,0.672,1.3,0.0377758213812,1,Financials,34.41354687914144,33.03,4.59,Fairly Valued,0.1169,0.0727,0.0571,14.7886
AIZ,12.742022,12.772458628841608,23.10255612798116,0.547,1.55,0.1281936338202,1,Financials,12.09108404067847,26.41,-13.64,Fairly Valued,0.1169,0.0727,0.0571,14.7886
BRK-B,15.347835,15.291881443298973,27.6581754385478,0.688,0.0,0.09809,1,Financials,0.0,29.13,-13.84,Fairly Valued,0.1169,0.0727,0.0571,14.7886
BIIB,20.302273,21.314772727272725,23.98978367759005,0.145,0.0,0.07394,1,Health Care,0.0,16.31,5.0,Fairly Valued,0.1169,0.0727,0.0571,14.7886
BSX,32.195873,32.43814432989691,25.253997920133656,0.7,0.0,0.12445,1,Health Care,0.0,27.87,4.57,Fairly Valued,0.1169,0.0727,0.0571,14.7886
BRO,20.575947,20.651898734177216,23.820385703903742,0.798,0.97,0.0904142051226,1,Financials,10.728402673945956,32.74,-12.09,Fairly Valued,0.1169,0.0727,0.0571,14.7886
