Ticker,PE Ratio (TTM),PE Ratio (Current),Market Cap (log),Beta,Dividend Yield,EPS Growth (ROE x Retention),Cluster,Sector,Payout Ratio,Predicted PE (Cluster),PE Difference (Cluster),Valuation Signal (Cluster),Cluster R²,Cluster Adj R²,Cluster F p-value,Cluster Residual SE
AKAM,40.881756,40.79054054054054,23.59077228380824,0.598,0.0,0.091680005,0,Information Technology,0.0,27.25,13.54,Overvalued,0.1688,0.119,0.0251,11.7194
ALLE,17.719946,17.886612021857925,23.134413073314217,0.875,1.62,0.244653296316,0,Industrials,6.6216152587928745,26.42,-8.53,Fairly Valued,0.1688,0.119,0.0251,11.7194
ALL,5.0823007,4.923893805309734,24.803084310139187,0.192,1.94,0.41137543971326,0,Financials,4.715886785444054,3.9,1.02,Fairly Valued,0.1688,0.119,0.0251,11.7194
ACGL,7.1634617,7.08,24.205640842882097,0.306,0.0,0.21305999,0,Financials,0.0,17.33,-10.25,Fairly Valued,0.1688,0.119,0.0251,11.7194
AJG,35.09693,33.77705977382875,24.745409681755294,0.533,1.34,0.0400239825986,0,Financials,33.47992660897449,25.0,8.78,Fairly Valued,0.1688,0.119,0.0251,11.7194
AIZ,13.62045,13.40748334187596,23.300944660646017,0.569,1.35,0.1491364479999999,0,Financials,9.05211313601891,24.06,-10.65,Fairly Valued,0.1688,0.119,0.0251,11.7194
BRK-B,14.702413,14.557342865653858,27.69356086132411,0.617,0.0,0.10499,0,Financials,0.0,28.95,-14.39,Undervalued,0.1688,0.119,0.0251,11.7194
BIIB,21.383995,21.451127819548873,24.103999827520067,0.177,0.0,0.077010006,0,Health Care,0.0,21.06,0.39,Fairly Valued,0.1688,0.119,0.0251,11.7194
BSX,18.801254,18.548117154811713,24.924809801597217,0.559,0.0,0.14661,0,Health Care,0.0,25.09,-6.54,Fairly Valued,0.1688,0.119,0.0251,11.7194
BRO,19.690554,18.97068403908795,23.74317333190118,0.624,1.11,0.094787848,0,Financials,11.710361859887358,27.55,-8.58,Fairly Valued,0.1688,0.119,0.0251,11.7194
CASY,43.54184,43.497384937238486,24.152693078132053,0.624,0.28,0.16873793095765,0,Consumer Staples,1.6593779383858551,23.96,19.54,Overvalued,0.1688,0.119,0.0251,11.7194
CBOE,22.308975,21.87863247863248,24.030746123517336,0.395,1.13,0.19149138,0,Financials,5.901048914055557,18.74,3.14,Fairly Valued,0.1688,0.119,0.0251,11.7194
CF,9.251351,9.333333333333334,23.48176777266406,0.382,1.93,0.22380539727,0,Materials,8.623563254248234,17.05,-7.72,Fairly Valued,0.1688,0.119,0.0251,11.7194
SCHW,18.457254,18.296222664015904,25.80753155845481,0.773,1.39,0.1479505009083,0,Financials,9.395034092257143,28.25,-9.95,Fairly Valued,0.1688,0.119,0.0251,11.7194
CB,11.736199,11.507430997876856,25.580280713019544,0.421,1.25,0.133155924,0,Financials,9.387490713518686,22.1,-10.59,Fairly Valued,0.1688,0.119,0.0251,11.7194
CHD,31.633224,30.835526315789473,23.849398167205862,0.47,1.31,0.101965983,0,Consumer Staples,12.847421870095639,23.68,7.16,Fairly Valued,0.1688,0.119,0.0251,11.7194
CTVA,43.032433,42.627027027027026,24.698165234140102,0.572,0.91,0.0316541952324,0,Materials,28.748164131766003,26.28,16.35,Overvalued,0.1688,0.119,0.0251,11.7194
EA,57.971508,57.82621082621083,24.655540653792052,0.645,0.37,0.1056941499999999,0,Communication Services,3.5006667824094366,26.34,31.49,Overvalued,0.1688,0.119,0.0251,11.7194
ELV,16.688902,16.72257518000847,25.17257027748931,0.682,1.74,0.0857743419999999,0,Health Care,20.285786628360285,28.27,-11.55,Fairly Valued,0.1688,0.119,0.0251,11.7194
EQT,9.79981,9.836812144212525,24.19842015886231,0.543,1.27,0.117615952,0,Energy,10.79785503925522,25.06,-15.22,Undervalued,0.1688,0.119,0.0251,11.7194
FDS,14.177445,14.068211068211069,22.806003827364,0.707,2.12,0.201334196,0,Financials,10.529756206938638,24.26,-10.19,Fairly Valued,0.1688,0.119,0.0251,11.7194
FOXA,12.875026,12.997368421052633,23.745819212931167,0.519,1.13,0.1295952015199999,0,Communication Services,8.719458643116594,24.15,-11.15,Fairly Valued,0.1688,0.119,0.0251,11.7194
FOX,11.73158,11.823684210526316,23.652813999321936,0.519,1.25,0.1295952015199999,0,Communication Services,9.645418853005083,24.06,-12.24,Undervalued,0.1688,0.119,0.0251,11.7194
GD,21.927673,21.59496855345912,25.26959303738121,0.341,1.85,0.110845664167,0,Industrials,16.689872480828765,20.53,1.06,Fairly Valued,0.1688,0.119,0.0251,11.7194
GPN,23.735292,23.93014705882353,23.594566307092425,0.767,1.54,0.01856094,0,Financials,82.96993578988994,28.82,-4.89,Fairly Valued,0.1688,0.119,0.0251,11.7194
GL,12.0782,11.90657439446367,23.32975123695061,0.499,0.77,0.188411005,0,Financials,4.086810109632396,21.4,-9.49,Fairly Valued,0.1688,0.119,0.0251,11.7194
HIG,9.211119,9.113300492610836,24.30347320040801,0.475,1.85,0.191519648424,0,Financials,9.659583312853295,20.2,-11.09,Fairly Valued,0.1688,0.119,0.0251,11.7194
HUM,38.745735,38.45628997867803,24.49911516958893,0.771,0.98,0.039074163111,0,Health Care,25.08051157016628,30.63,7.83,Fairly Valued,0.1688,0.119,0.0251,11.7194
JKHY,17.506285,17.237430167597765,22.909975334762283,0.575,1.93,0.1672244676964002,0,Financials,11.541373260663974,22.89,-5.65,Fairly Valued,0.1688,0.119,0.0251,11.7194
J,34.79056,35.014749262536874,23.35705642100252,0.683,1.21,0.0572803817701998,0,Industrials,21.124160883814223,28.82,6.19,Fairly Valued,0.1688,0.119,0.0251,11.7194
LDOS,9.57914,9.591948764867338,23.30118743815251,0.515,1.64,0.259340499,0,Industrials,6.323732723287464,18.27,-8.68,Fairly Valued,0.1688,0.119,0.0251,11.7194
LIN,34.35255,34.24188204108682,26.202535452013592,0.732,1.24,0.1085536949999999,0,Materials,11.42291839996788,28.35,5.89,Fairly Valued,0.1688,0.119,0.0251,11.7194
L,13.958651,13.756997455470737,23.840150193072805,0.535,0.23,0.089238994,0,Financials,2.577348642007327,27.79,-14.03,Undervalued,0.1688,0.119,0.0251,11.7194
MPC,16.209816,16.290513833992094,24.997643144853782,0.522,1.58,0.2055231299999999,0,Energy,7.687699189867344,20.44,-4.15,Fairly Valued,0.1688,0.119,0.0251,11.7194
MNST,45.04831,44.93719806763285,25.236312604870847,0.542,0.0,0.26654,0,Consumer Staples,0.0,16.43,28.51,Overvalued,0.1688,0.119,0.0251,11.7194
NEM,12.673152,13.203631647211411,25.370638624298387,0.455,1.02,0.22448008,0,Materials,4.543833020729501,18.7,-5.5,Fairly Valued,0.1688,0.119,0.0251,11.7194
NOC,16.131935,15.898777812597933,25.015293566153712,-0.121,1.85,0.2025207217939999,0,Industrials,9.13486769952254,5.66,10.24,Fairly Valued,0.1688,0.119,0.0251,11.7194
PCG,13.023255,12.891472868217052,24.33411277280157,0.272,1.2,0.078004190163,0,Utilities,15.383788966880399,21.84,-8.95,Fairly Valued,0.1688,0.119,0.0251,11.7194
DGX,21.77704,21.36644591611479,23.807027601569292,0.587,1.78,0.0930205126942002,0,Health Care,19.135564279801937,25.93,-4.56,Fairly Valued,0.1688,0.119,0.0251,11.7194
RTX,34.52533,34.11444652908068,26.235955130428795,0.306,1.52,0.056663187,0,Industrials,26.825176635405278,19.98,14.13,Overvalued,0.1688,0.119,0.0251,11.7194
REGN,15.001404,14.946315275744269,24.889164572962887,0.238,0.61,0.132765048,0,Health Care,4.594582754943153,19.29,-4.34,Fairly Valued,0.1688,0.119,0.0251,11.7194
RSG,29.911766,29.31994261119082,24.884386223675374,0.415,1.22,0.118845394478,0,Industrials,10.26543775935583,22.09,7.23,Fairly Valued,0.1688,0.119,0.0251,11.7194
RMD,18.422298,18.19015444015444,24.044147014338247,0.782,1.27,0.1957322405246,0,Health Care,6.488455844556605,26.45,-8.26,Fairly Valued,0.1688,0.119,0.0251,11.7194
ROL,40.70642,40.74311926605504,23.784904783291527,0.727,1.64,0.1396796592239999,0,Industrials,11.74115121064251,26.34,14.4,Overvalued,0.1688,0.119,0.0251,11.7194
ROP,20.57411,20.330831769856157,24.22580951333157,0.762,1.12,0.0710686329012,0,Information Technology,15.759413883154757,31.22,-10.89,Fairly Valued,0.1688,0.119,0.0251,11.7194
SYK,35.6185,35.2242774566474,25.49491145740578,0.785,1.16,0.09148879696,0,Health Care,12.679148032815055,29.99,5.23,Fairly Valued,0.1688,0.119,0.0251,11.7194
TPL,50.851852,49.534979423868315,23.96466651867548,0.611,0.66,0.254605612,0,Energy,2.5922445103056098,17.77,31.76,Overvalued,0.1688,0.119,0.0251,11.7194
TRV,9.40197,9.269173381080275,24.927896288434845,0.495,1.61,0.219537864,0,Financials,7.333586884128563,19.55,-10.28,Fairly Valued,0.1688,0.119,0.0251,11.7194
VRTX,27.675964,27.7026706231454,25.49699346771765,0.31,0.0,0.24197,0,Health Care,0.0,14.59,13.11,Overvalued,0.1688,0.119,0.0251,11.7194
WRB,14.474577,14.097457627118644,23.959350579804024,0.311,0.6,0.186254868,0,Financials,3.221392312817295,18.01,-3.91,Fairly Valued,0.1688,0.119,0.0251,11.7194
WMT,42.239437,41.260563380281695,27.584611786617224,0.599,0.84,0.1603812671736,0,Consumer Staples,5.237519411109071,23.78,17.48,Overvalued,0.1688,0.119,0.0251,11.7194
WM,31.519539,30.869753979739507,25.194483955781713,0.457,1.66,0.1512067300128,0,Industrials,10.978347325277632,21.21,9.66,Fairly Valued,0.1688,0.119,0.0251,11.7194
WTW,15.142185,14.863102232667451,23.91543348513095,0.45,1.52,0.161095576,0,Financials,9.435392564721951,21.1,-6.24,Fairly Valued,0.1688,0.119,0.0251,11.7194
ZBH,22.743525,22.56217616580311,23.555541751635335,0.472,1.1,0.0455663458960999,0,Health Care,24.14062348796222,25.62,-3.06,Fairly Valued,0.1688,0.119,0.0251,11.7194
