Ticker,Predicted PE (Cluster),PE Difference (Cluster),Valuation Signal (Cluster),Cluster R²,Cluster Adj R²,Cluster F p-value,Cluster Residual SE,Source Cluster,Sector,PE Ratio (Current),EPS Growth (ROE x Retention),Beta,Payout Ratio,Predicted PE (Index),PE Difference (Index),Valuation Signal (Index),Index R²,Index Adj R²,Index F p-value,Index Residual SE,Combined Signal
COF,-48.77,112.39,Overvalued,0.0617,0.033,0.0989,15.7024,cluster_3,Financials,63.621538461538464,0.0045234910223,1.022,0.86120003,29.29,34.33,Overvalued,0.1547,0.1479,0.0,13.98,Strong Overvalued
PWR,30.52,56.49,Overvalued,0.0617,0.033,0.0989,15.7024,cluster_3,Industrials,87.00962861072902,0.12754441559398,1.215,0.057600003,30.61,56.4,Overvalued,0.1547,0.1479,0.0,13.98,Strong Overvalued
SNPS,35.36,51.64,Overvalued,0.0617,0.033,0.0989,15.7024,cluster_3,Information Technology,87.00229885057472,0.03824,1.222,0.0,31.05,55.95,Overvalued,0.1547,0.1479,0.0,13.98,Strong Overvalued
CDNS,28.0,48.91,Overvalued,0.1334,0.0834,0.0571,12.6571,cluster_5,Information Technology,76.9067599067599,0.20656,1.148,0.0,29.18,47.73,Overvalued,0.1547,0.1479,0.0,13.98,Strong Overvalued
AVGO,22.35,40.57,Overvalued,0.0617,0.033,0.0989,15.7024,cluster_3,Information Technology,62.92179700499169,0.2189885897081996,1.462,0.41259998,33.47,29.45,Overvalued,0.1547,0.1479,0.0,13.98,Strong Overvalued
GLW,33.8,39.81,Overvalued,0.0617,0.033,0.0989,15.7024,cluster_3,Information Technology,73.60576923076923,0.0772551,1.086,0.5385,29.73,43.88,Overvalued,0.1547,0.1479,0.0,13.98,Strong Overvalued
TPL,18.89,36.63,Overvalued,0.1719,0.1222,0.0231,12.2453,cluster_1,Energy,55.52257181942545,0.254605612,0.594,0.3018,21.99,33.53,Overvalued,0.1547,0.1479,0.0,13.98,Strong Overvalued
NOW,26.74,35.58,Overvalued,0.0617,0.033,0.0989,15.7024,cluster_3,Information Technology,62.32142857142858,0.1607,0.959,0.0,27.14,35.18,Overvalued,0.1547,0.1479,0.0,13.98,Strong Overvalued
HWM,29.58,33.67,Overvalued,0.1334,0.0834,0.0571,12.6571,cluster_5,Industrials,63.25116279069768,0.302096194,1.189,0.1067,29.2,34.05,Overvalued,0.1547,0.1479,0.0,13.98,Strong Overvalued
MGM,30.48,33.0,Overvalued,0.0617,0.033,0.0989,15.7024,cluster_3,Consumer Discretionary,63.47945205479453,0.13488,1.291,0.0,31.63,31.85,Overvalued,0.1547,0.1479,0.0,13.98,Strong Overvalued
EA,27.44,32.02,Overvalued,0.1719,0.1222,0.0231,12.2453,cluster_1,Communication Services,59.45738636363636,0.1056941499999999,0.641,0.2165,23.66,35.8,Overvalued,0.1547,0.1479,0.0,13.98,Strong Overvalued
MNST,17.76,28.35,Overvalued,0.1719,0.1222,0.0231,12.2453,cluster_1,Consumer Staples,46.111111111111114,0.26654,0.527,0.0,20.73,25.38,Overvalued,0.1547,0.1479,0.0,13.98,Strong Overvalued
COO,34.64,26.55,Overvalued,0.0617,0.033,0.0989,15.7024,cluster_3,Health Care,61.188034188034194,0.02853,0.84,0.0,26.43,34.76,Overvalued,0.1547,0.1479,0.0,13.98,Strong Overvalued
