Ticker,PE Ratio (TTM),PE Ratio (Current),Market Cap (log),Beta,Dividend Yield,EPS Growth (ROE x Retention),Cluster,Sector,Payout Ratio,Predicted PE (Cluster),PE Difference (Cluster),Valuation Signal (Cluster),Cluster R²,Cluster Adj R²,Cluster F p-value,Cluster Residual SE
MRSH,20.851719,20.712930011862397,25.167085403073635,0.749,2.06,0.1740867119999999,2,Financials,11.833183454001942,30.33,-9.62,Fairly Valued,0.1539,0.1109,0.019,14.5399
MNST,37.814434,37.30412371134021,24.996675858849414,0.509,0.0,0.26815,2,Consumer Staples,0.0,21.12,16.18,Overvalued,0.1539,0.1109,0.019,14.5399
NEM,17.654146,17.848200312989047,25.53319629028646,0.475,0.91,0.188471631565,2,Materials,4.828312847104312,23.31,-5.46,Fairly Valued,0.1539,0.1109,0.019,14.5399
NOC,24.030949,24.157496561210458,25.325788861492256,0.046,1.32,0.180787803,2,Industrials,7.301377516048469,8.66,15.5,Overvalued,0.1539,0.1109,0.019,14.5399
PANW,90.093056,90.67222222222225,25.608554644789866,0.766,0.0,0.16259001,2,Information Technology,0.0,29.22,61.45,Overvalued,0.1539,0.1109,0.019,14.5399
PCG,14.974577,15.059322033898306,24.38266734878155,0.343,1.13,0.07337878658965,2,Utilities,15.39954600665726,22.07,-7.01,Fairly Valued,0.1539,0.1109,0.019,14.5399
DGX,22.697144,22.53257142857143,23.818514541432364,0.654,1.74,0.0944064,2,Health Care,18.430953833638398,29.22,-6.69,Fairly Valued,0.1539,0.1109,0.019,14.5399
RTX,39.929436,39.55846774193549,26.308903472263168,0.428,1.39,0.0505653777724001,2,Industrials,27.48916474542188,20.14,19.42,Overvalued,0.1539,0.1109,0.019,14.5399
REGN,18.324566,18.3844111969112,25.10879200510376,0.397,0.49,0.136029605849,2,Health Care,3.602157022669945,23.54,-5.16,Fairly Valued,0.1539,0.1109,0.019,14.5399
RSG,32.242336,32.58248175182482,24.946239040927168,0.535,1.12,0.118627088482,2,Industrials,9.441351164662061,26.46,6.12,Fairly Valued,0.1539,0.1109,0.019,14.5399
RMD,22.143423,22.16518298714145,24.20995175559906,0.928,1.07,0.1993741399999999,2,Health Care,5.36679430943251,36.8,-14.63,Undervalued,0.1539,0.1109,0.019,14.5399
ROL,49.62385,49.47706422018348,23.984080823098832,0.84,1.35,0.1468967679999999,2,Industrials,9.19012731444167,33.24,16.24,Overvalued,0.1539,0.1109,0.019,14.5399
SYY,19.474394,19.180592991913745,24.267198757489137,0.693,3.04,0.3507073549999999,2,Consumer Staples,8.668195738295825,22.71,-3.53,Fairly Valued,0.1539,0.1109,0.019,14.5399
TMUS,20.4296,20.698869475847893,26.12745894102669,0.422,2.03,0.1133335949999999,2,Communication Services,17.91172335087404,21.81,-1.11,Fairly Valued,0.1539,0.1109,0.019,14.5399
TRGP,29.044813,28.81957547169811,24.692474651252592,0.811,1.64,0.2868601332762,2,Energy,5.717071874957767,28.58,0.24,Fairly Valued,0.1539,0.1109,0.019,14.5399
TPL,63.939743,63.73601147776184,24.148326001196622,0.773,0.54,0.257797728,2,Energy,2.0946654735452133,26.63,37.11,Overvalued,0.1539,0.1109,0.019,14.5399
TSCO,21.847088,21.271844660194173,23.88825299427378,0.747,2.19,0.250048244932,2,Consumer Discretionary,8.758309823752471,28.05,-6.78,Fairly Valued,0.1539,0.1109,0.019,14.5399
TRV,10.755377,10.717827196500185,24.910009784779422,0.522,1.5,0.174161377586,2,Financials,8.61270174128766,24.47,-13.75,Fairly Valued,0.1539,0.1109,0.019,14.5399
VRTX,28.48857,28.655127367733503,25.430854001220453,0.367,0.0,0.22541,2,Health Care,0.0,19.17,9.49,Fairly Valued,0.1539,0.1109,0.019,14.5399
WRB,14.835955,14.829213483146066,23.945695235426236,0.373,0.55,0.181496109213,2,Financials,3.0303679918258286,21.24,-6.41,Fairly Valued,0.1539,0.1109,0.019,14.5399
WMT,46.283882,46.07692307692308,27.638347153359717,0.661,0.79,0.143250779,2,Consumer Staples,5.51480421617812,29.55,16.53,Overvalued,0.1539,0.1109,0.019,14.5399
WM,34.723545,35.0849478390462,25.26629692623971,0.547,1.45,0.1507072,2,Industrials,9.62130541871921,25.48,9.6,Fairly Valued,0.1539,0.1109,0.019,14.5399
WTW,17.911076,17.762461538461537,24.0381082242618,0.63,1.33,0.1553280140076,2,Financials,8.56252497978198,28.23,-10.47,Fairly Valued,0.1539,0.1109,0.019,14.5399
ZBH,25.540844,25.602816901408453,23.611920637269694,0.612,1.06,0.0408503028801999,2,Health Care,25.948400018198665,28.48,-2.88,Fairly Valued,0.1539,0.1109,0.019,14.5399
