Ticker,PE Ratio (TTM),PE Ratio (Current),Market Cap (log),Beta,Dividend Yield,EPS Growth (ROE x Retention),Cluster,Sector,Payout Ratio,Predicted PE (Cluster),PE Difference (Cluster),Valuation Signal (Cluster),Cluster R²,Cluster Adj R²,Cluster F p-value,Cluster Residual SE
ACN,11.335463,11.559904153354632,25.1874116709996,1.122,4.5,0.119882272,6,Information Technology,37.53682612888751,15.69,-4.13,Fairly Valued,0.2304,0.1534,0.0464,5.7603
AES,7.7170315,7.708333333333334,23.08096805679325,0.942,4.76,0.0333168425336,6,Utilities,142.87068155391813,17.34,-9.63,Undervalued,0.2304,0.1534,0.0464,5.7603
AMT,26.601612,26.94516129032258,25.064987783274123,0.909,4.18,0.053134848,6,Real Estate,78.66776997273051,15.76,11.19,Overvalued,0.2304,0.1534,0.0464,5.7603
T,7.4090905,7.39057239057239,25.75303812090368,0.422,5.06,0.115051316263,6,Communication Services,43.98037470890956,12.79,-5.4,Fairly Valued,0.2304,0.1534,0.0464,5.7603
AVB,23.579826,23.742574257425744,24.021569337711796,0.78,3.71,0.012527791,6,Real Estate,296.14159431618873,16.4,7.34,Overvalued,0.2304,0.1534,0.0464,5.7603
BBY,15.424074,15.764814814814812,23.588592940203785,1.33,4.51,0.1151221916416,6,Consumer Discretionary,39.17576564248007,16.65,-0.89,Fairly Valued,0.2304,0.1534,0.0464,5.7603
CMCSA,4.6617646,4.662745098039216,25.165090076352353,0.655,5.55,0.155044216,6,Communication Services,35.796240215758836,13.01,-8.35,Undervalued,0.2304,0.1534,0.0464,5.7603
D,20.712387,20.755162241887906,24.846440230532615,0.636,3.79,0.0207875840852,6,Utilities,182.32036895034577,15.5,5.26,Fairly Valued,0.2304,0.1534,0.0464,5.7603
EIX,8.429348,8.396739130434783,24.119141520793526,0.649,4.54,0.118711152,6,Utilities,38.24409015928006,13.51,-5.11,Fairly Valued,0.2304,0.1534,0.0464,5.7603
ES,15.689507,15.856531049250536,24.039463754400796,0.714,4.25,0.037973765456,6,Utilities,111.9193724658265,15.66,0.2,Fairly Valued,0.2304,0.1534,0.0464,5.7603
FRT,21.82986,21.803819444444446,23.114696553271255,0.932,3.6,0.032788694,6,Real Estate,109.79394299754665,16.58,5.22,Fairly Valued,0.2304,0.1534,0.0464,5.7603
FIS,8.073644,8.19186046511628,23.79286102405829,0.813,3.97,0.117508946555,6,Financials,33.78466164822475,14.28,-6.09,Undervalued,0.2304,0.1534,0.0464,5.7603
BEN,24.96565,24.6030534351145,23.556169373017088,1.576,4.1,0.000509504,6,Financials,8047.041828915964,77.99,-53.39,Undervalued,0.2304,0.1534,0.0464,5.7603
HON,18.435755,18.051077414205903,25.01628275542568,0.93,4.21,0.0627952247208,6,Industrials,67.04331449912782,15.94,2.11,Fairly Valued,0.2304,0.1534,0.0464,5.7603
HST,16.465986,16.36734693877551,23.544204916178433,1.119,3.33,0.06777746,6,Real Estate,49.131377894657014,16.8,-0.43,Fairly Valued,0.2304,0.1534,0.0464,5.7603
HBAN,13.876846,13.892307692307693,24.322473050565783,0.952,3.43,0.0438671650616999,6,Financials,78.19060099223753,16.74,-2.85,Fairly Valued,0.2304,0.1534,0.0464,5.7603
KVUE,22.613096,22.642857142857142,24.319771386258193,0.437,4.36,0.0023394442896999,6,Consumer Staples,1863.690458112723,15.57,7.07,Overvalued,0.2304,0.1534,0.0464,5.7603
KEY,14.124601,14.30674846625767,23.936140231926014,1.024,3.52,0.0495757090092,6,Financials,71.00251454491104,16.94,-2.63,Fairly Valued,0.2304,0.1534,0.0464,5.7603
KMB,20.896519,20.9825918762089,24.302921107708645,0.279,4.72,0.0237978063092,6,Consumer Staples,198.33760888184446,13.02,7.96,Overvalued,0.2304,0.1534,0.0464,5.7603
NKE,20.511906,20.7,24.880611931744077,1.128,3.77,0.0495448329551994,6,Consumer Discretionary,76.09269776747453,17.06,3.64,Fairly Valued,0.2304,0.1534,0.0464,5.7603
OKE,16.396612,16.67736185383244,24.78290802374666,0.707,4.57,0.0411092549999999,6,Energy,111.16718121016815,15.5,1.18,Fairly Valued,0.2304,0.1534,0.0464,5.7603
PEP,17.650064,17.753604193971167,25.937979963040423,0.368,4.37,0.127070236,6,Consumer Staples,34.39042955739848,10.82,6.93,Overvalued,0.2304,0.1534,0.0464,5.7603
PNC,13.673458,13.774229074889869,25.319149904083694,0.897,3.2,0.0789694879999999,6,Financials,40.521979830995036,15.48,-1.71,Fairly Valued,0.2304,0.1534,0.0464,5.7603
PGR,10.165771,10.4392523364486,25.51207333880438,0.246,6.55,0.105737518,6,Financials,61.945845938997735,11.89,-1.45,Fairly Valued,0.2304,0.1534,0.0464,5.7603
PLD,33.117188,32.919642857142854,25.675950288716535,1.34,2.9,0.005695515,6,Real Estate,509.1725682400977,17.62,15.3,Overvalued,0.2304,0.1534,0.0464,5.7603
PRU,12.122554,12.149330587023686,24.43399577770753,0.84,4.75,0.0469891527155999,6,Financials,101.0871600249785,16.17,-4.02,Fairly Valued,0.2304,0.1534,0.0464,5.7603
RF,12.536585,12.646341463414634,23.99352751742224,1.012,3.52,0.0675350935854,6,Financials,52.12105015518876,16.44,-3.79,Fairly Valued,0.2304,0.1534,0.0464,5.7603
SPG,15.908901,15.86856745479833,25.188345355303117,1.327,3.86,0.452656115923,6,Real Estate,8.527444707400381,-19.72,35.59,Overvalued,0.2304,0.1534,0.0464,5.7603
TROW,12.595494,12.498927038626608,23.948233379965856,1.497,4.46,0.084418208483,6,Financials,52.83220385917272,19.24,-6.74,Undervalued,0.2304,0.1534,0.0464,5.7603
TGT,18.3963,18.43989431968296,24.870371226762252,0.981,3.32,0.0881260383955,6,Consumer Staples,37.673314952615975,15.48,2.96,Fairly Valued,0.2304,0.1534,0.0464,5.7603
TFC,11.712069,11.724137931034484,24.854244269840823,0.875,4.08,0.047269862,6,Financials,86.31292386679698,16.34,-4.62,Fairly Valued,0.2304,0.1534,0.0464,5.7603
USB,12.572854,12.602794411177646,25.30947258006455,0.979,3.29,0.073819304,6,Financials,44.56828799144462,16.08,-3.48,Fairly Valued,0.2304,0.1534,0.0464,5.7603
VZ,10.554878,10.609756097560975,25.920089188701137,0.238,6.51,0.0559966828405999,6,Communication Services,116.25688647542496,13.32,-2.71,Fairly Valued,0.2304,0.1534,0.0464,5.7603
VICI,9.134486,9.191780821917808,24.103198139282533,0.683,6.71,0.0441455759999999,6,Real Estate,151.99711065045375,15.66,-6.47,Undervalued,0.2304,0.1534,0.0464,5.7603
