Ticker,Market Cap,PE Ratio (TTM),PE Ratio (Current),Dividend Yield,Beta,Payout Ratio,Return on Equity (ROE),Retention Ratio,EPS Growth (ROE x Retention),Sector
C,194917875712,15.94063,15.668097281831187,2.19,1.131,0.3319,0.06831,0.6681,0.045637910999999996,Financials
CFG,24931674112,15.03886,14.772020725388602,3.23,1.085,0.4456,0.07241,0.5544,0.040144104,Financials
CLX,12984810496,17.422258,17.373158756137478,4.67,0.568,0.8052,9.87179,0.19479999999999997,,Consumer Staples
CME,109600948224,27.317204,27.53763440860215,1.69,0.26,0.44799998,0.1475,0.5520000199999999,0.08142000294999999,Financials
CMS,22950926336,21.21813,21.08215297450425,3.06,0.432,0.6156,0.108559996,0.38439999999999996,0.041730462462399996,Utilities
KO,323930554368,24.75658,24.588815789473685,2.76,0.332,0.6711,0.43323,0.32889999999999997,0.142489347,Consumer Staples
CTSH,29953040384,13.60965,13.61184210526316,2.13,0.983,0.2719,0.15158,0.7281,0.11036539799999999,Information Technology
COIN,53208838144,44.441444,44.48198198198198,0.0,3.709,0.0,0.10055,1.0,0.10055,Financials
CL,68508311552,32.498096,32.365019011406844,2.49,0.264,0.78330004,4.9747,0.21669996000000002,,Consumer Staples
CMCSA,105181011968,5.3552876,5.38404452690167,4.55,0.78,0.18370001,0.2141,0.81629999,0.174769827859,Communication Services
FIX,49843855360,48.897232,46.946366782006926,0.17,1.602,0.0675,0.49238998,0.9325,0.45915365635,Industrials
CAG,7393200128,,,9.23,-0.061,0.791,-0.0116,0.20899999999999996,-0.0024243999999999993,Consumer Staples
COP,156434972672,20.154331,19.98740157480315,2.65,0.279,0.5008,0.12357,0.4992,0.061686144,Energy
ED,39580708864,19.42376,19.406028368794328,3.14,0.345,0.6028,0.08767,0.3972,0.034822524,Utilities
STZ,26591098880,23.978024,23.488226059654632,2.73,0.422,0.6389,0.14454001,0.3611,0.052193397610999996,Consumer Staples
CEG,104901181440,39.213806,38.15832205683356,0.6,1.107,0.20959999,0.16364,0.7904000099999999,0.1293410576364,Utilities
COO,13702885376,34.9403,34.80597014925373,0.0,1.03,0.0,0.04868,1.0,0.04868,Health Care
CPRT,32355989504,21.02201,20.669811320754718,0.0,1.106,0.0,0.17129,1.0,0.17129,Industrials
GLW,112935993344,71.93169,68.07650273224043,0.9,1.022,0.612,0.14904,0.388,0.05782752000000001,Information Technology
CPAY,20848201728,19.827679,19.12574850299401,0.0,0.819,0.0,0.29071,1.0,0.29071,Financials
CTVA,52609114112,44.488575,44.18857142857143,0.93,0.721,0.4,0.04974,0.6,0.029844,Materials
CSGP,18050613248,2129.5,2146.5,0.0,0.902,0.0,0.00088,1.0,0.00088,Real Estate
